Participant,Situation,RatingPlayer1,RatingPlayer2,ExperiencedOrder,Experiment
27,3,0,50,4,spinner
27,4,46,9,3,spinner
27,5,66,100,7,spinner
27,6,18,0,5,spinner
27,7,0,0,6,spinner
27,8,100,100,8,spinner
28,1,22,93,2,spinner
28,2,17,90,1,spinner
28,3,30,61,3,spinner
28,4,25,75,4,spinner
28,5,60,84,5,spinner
28,6,75,95,8,spinner
28,7,5,27,7,spinner
28,8,16,35,6,spinner
29,1,2,100,2,spinner
29,2,100,2,1,spinner
29,3,1,99,4,spinner
29,4,99,1,3,spinner
29,5,100,100,7,spinner
29,6,2,4,6,spinner
29,7,1,1,5,spinner
29,8,100,100,8,spinner
30,1,13,87,2,spinner
30,2,89,9,1,spinner
30,3,20,79,4,spinner
30,4,89,18,3,spinner
30,5,38,83,7,spinner
30,6,23,13,8,spinner
30,7,16,23,6,spinner
30,8,85,83,5,spinner
31,1,20,88,2,spinner
31,2,60,87,1,spinner
31,3,38,67,3,spinner
31,4,80,35,4,spinner
31,5,57,88,8,spinner
31,6,49,62,6,spinner
31,7,91,37,5,spinner
31,8,81,80,7,spinner
32,1,0,63,1,spinner
32,2,100,57,2,spinner
32,3,36,6,3,spinner
32,4,45,11,4,spinner
32,5,31,85,5,spinner
32,6,30,7,7,spinner
32,7,76,12,6,spinner
32,8,85,63,8,spinner
33,1,17,77,1,spinner
33,2,81,26,2,spinner
33,3,44,67,4,spinner
33,4,63,37,3,spinner
33,5,65,82,5,spinner
33,6,61,77,8,spinner
33,7,22,38,6,spinner
33,8,18,34,7,spinner
34,1,0,100,1,spinner
34,2,0,100,2,spinner
34,3,0,100,3,spinner
34,4,5,100,4,spinner
34,5,100,100,8,spinner
34,6,0,100,5,spinner
34,7,0,0,6,spinner
34,8,0,0,7,spinner
35,1,57,46,1,spinner
35,2,50,54,2,spinner
35,3,47,45,3,spinner
35,4,48,50,4,spinner
35,5,50,45,8,spinner
35,6,45,53,6,spinner
35,7,47,44,5,spinner
35,8,45,53,7,spinner
36,1,0,96,1,spinner
36,2,94,3,2,spinner
36,3,2,80,3,spinner
36,4,95,13,4,spinner
36,5,96,100,6,spinner
36,6,13,3,5,spinner
36,7,100,96,7,spinner
36,8,100,97,8,spinner
37,1,7,86,2,spinner
37,2,16,87,1,spinner
37,3,65,27,3,spinner
37,4,53,75,4,spinner
37,5,28,82,5,spinner
37,6,67,94,8,spinner
37,7,8,26,7,spinner
37,8,10,29,6,spinner
38,1,12,61,2,spinner
38,2,65,100,1,spinner
38,3,16,0,3,spinner
38,4,50,73,4,spinner
38,5,50,57,7,spinner
38,6,84,94,6,spinner
38,7,0,0,8,spinner
38,8,28,33,5,spinner
39,1,0,76,1,spinner
39,2,99,12,2,spinner
39,3,12,11,4,spinner
39,4,76,39,3,spinner
39,5,38,78,7,spinner
39,6,15,5,5,spinner
39,7,11,37,8,spinner
39,8,84,65,6,spinner
40,1,5,97,1,spinner
40,2,96,10,2,spinner
40,3,23,60,4,spinner
40,4,45,41,3,spinner
40,5,36,89,6,spinner
40,6,26,8,8,spinner
40,7,6,31,7,spinner
40,8,77,47,5,spinner
41,1,7,6,2,spinner
41,2,100,100,1,spinner
41,3,5,11,3,spinner
41,4,100,100,4,spinner
41,5,0,0,8,spinner
41,6,100,100,6,spinner
41,7,0,0,5,spinner
41,8,100,100,7,spinner
42,1,0,83,2,spinner
42,2,70,100,1,spinner
42,3,22,78,4,spinner
42,4,52,83,3,spinner
42,5,63,88,7,spinner
42,6,64,85,6,spinner
42,7,20,58,5,spinner
42,8,51,64,8,spinner
